Date,Voucher Type,Amount
02-Nov-21,Sales,"28,899"
29-Dec-21,Sales,"20,521"
31-Aug-21,Journal,"53,952"
21-Feb-22,Receipt,"44,224"
21-Nov-21,Purchase,"93,886"
06-Nov-21,Sales,"14,534"
15-Oct-21,Journal,"24,312"
05-Sep-21,Receipt,"14,610"
26-Nov-21,Receipt,"73,525"
16-Nov-21,Sales,"34,459"
21-Aug-21,Journal,"82,277"
17-Apr-21,Journal,"6,185"
29-Mar-22,Journal,"38,779"
27-May-21,Payment,"53,947"
25-Jul-21,Receipt,"32,952"
17-Aug-21,Journal,"25,734"
06-Oct-21,Receipt,"63,083"
06-Aug-21,Payment,"44,082"
03-Aug-21,Receipt,"93,575"
16-Jan-22,Purchase,"33,075"
19-Aug-21,Payment,"13,518"
20-Nov-21,Receipt,"56,918"
27-Dec-21,Purchase,"34,062"
28-Oct-21,Sales,"2,142"
04-Apr-21,Sales,"73,570"
03-Feb-22,Sales,"1,704"
13-May-21,Journal,"67,547"
28-Apr-21,Receipt,"83,269"
21-Jun-21,Journal,"13,440"
04-Jan-22,Journal,"58,329"
11-Jan-22,Sales,"53,466"
13-Jan-22,Sales,"9,371"
21-Dec-21,Receipt,"88,011"
28-Oct-21,Payment,"38,180"
19-Mar-22,Sales,"59,515"
18-Apr-21,Purchase,"87,587"
15-Oct-21,Purchase,"31,430"
11-Feb-22,Purchase,"50,133"
27-Mar-22,Purchase,"17,055"
27-Aug-21,Purchase,"74,199"
16-Jan-22,Receipt,"64,104"
10-Feb-22,Purchase,"7,266"
02-Jul-21,Payment,"46,724"
18-Dec-21,Sales,"42,906"
26-Jul-21,Payment,"23,040"
25-Jun-21,Purchase,"67,376"
06-Nov-21,Receipt,"49,698"
08-Oct-21,Receipt,"14,080"
14-Mar-22,Payment,"99,374"
22-Dec-21,Sales,"39,979"
24-May-21,Journal,"96,587"
11-Dec-21,Journal,"85,390"
18-Jan-22,Purchase,"27,500"
01-Jun-21,Purchase,"18,760"
04-Nov-21,Payment,"73,948"
09-Oct-21,Sales,"85,115"
14-May-21,Journal,"25,509"
12-Jun-21,Payment,"85,348"
10-Feb-22,Sales,"16,075"
28-Dec-21,Purchase,"20,877"
27-Dec-21,Sales,"61,071"
21-Oct-21,Journal,"38,436"
17-Jul-21,Journal,"61,684"
12-Dec-21,Sales,"11,478"
11-Dec-21,Purchase,"90,970"
15-Jul-21,Receipt,"52,254"
10-Dec-21,Sales,"72,638"
27-Sep-21,Journal,"36,395"
06-Aug-21,Payment,"48,956"
26-Aug-21,Payment,"85,816"
02-Jun-21,Payment,"16,190"
18-Jan-22,Purchase,"67,544"
09-Mar-22,Payment,"64,363"
31-Jul-21,Journal,"14,596"
11-Jul-21,Payment,"8,532"
20-Oct-21,Payment,"72,201"
10-Nov-21,Purchase,"83,937"
03-Oct-21,Journal,"18,854"
24-Oct-21,Payment,"6,446"
14-Apr-21,Payment,"44,967"
17-Feb-22,Journal,"26,015"
07-May-21,Purchase,"41,991"
27-Jul-21,Journal,"56,519"
07-Jun-21,Sales,"22,474"
05-Apr-21,Sales,"72,316"
09-Jun-21,Receipt,"46,809"
29-Jun-21,Payment,"85,633"
04-Jan-22,Sales,"42,080"
04-Jan-22,Sales,"76,594"
19-Nov-21,Payment,"97,115"
29-Apr-21,Sales,"99,150"
20-Oct-21,Payment,"16,863"
03-Jan-22,Sales,"68,570"
07-May-21,Payment,"99,185"
28-Mar-22,Sales,"64,240"
30-Aug-21,Sales,"86,294"
27-Feb-22,Journal,"65,389"
08-Jan-22,Sales,"73,191"
23-Oct-21,Receipt,"24,969"
11-Mar-22,Receipt,"65,019"
20-May-21,Journal,"92,369"
19-Dec-21,Receipt,"76,895"
13-Oct-21,Journal,"21,990"
07-Jul-21,Payment,"46,158"
14-Jan-22,Sales,"95,467"
12-Jul-21,Sales,"82,206"
14-May-21,Receipt,"52,191"
10-Nov-21,Sales,"95,077"
08-Dec-21,Receipt,"12,694"
13-Feb-22,Journal,"95,642"
18-May-21,Receipt,"68,643"
08-Aug-21,Journal,"84,594"
12-Jun-21,Payment,"67,743"
05-Dec-21,Sales,"92,060"
20-Mar-22,Receipt,"63,171"
02-Dec-21,Sales,"89,990"
18-Mar-22,Payment,"48,706"
07-Feb-22,Receipt,"62,694"
09-Feb-22,Payment,"44,178"
24-Jun-21,Sales,"88,308"
27-May-21,Purchase,"35,143"
13-Nov-21,Journal,"30,922"
09-Apr-21,Receipt,"13,776"
08-Dec-21,Receipt,"29,059"
16-Nov-21,Sales,"67,897"
15-Dec-21,Journal,"43,610"
25-Oct-21,Purchase,"57,570"
18-Nov-21,Payment,"54,574"
15-Jan-22,Journal,"25,694"
18-Apr-21,Payment,"4,509"
16-Jan-22,Sales,"48,382"
24-Sep-21,Payment,"55,435"
26-Mar-22,Purchase,"54,922"
24-Jan-22,Receipt,"40,233"
14-Feb-22,Receipt,"95,792"
05-Mar-22,Journal,"79,632"
30-Mar-22,Receipt,"89,553"
22-Apr-21,Journal,"54,562"
09-Jan-22,Purchase,"59,960"
26-Jun-21,Payment,"6,505"
14-Apr-21,Sales,"70,645"
26-May-21,Sales,"39,332"
13-Jan-22,Sales,"7,080"
05-Apr-21,Payment,"93,520"
17-Apr-21,Payment,"60,346"
11-Jun-21,Journal,"88,716"
20-Mar-22,Receipt,"67,242"
21-Jul-21,Receipt,"58,423"
10-Nov-21,Payment,"80,180"
28-May-21,Sales,"23,620"
03-Aug-21,Sales,"92,574"
24-Jul-21,Journal,"90,157"
01-Dec-21,Journal,"3,639"
22-Feb-22,Receipt,"98,682"
06-Jul-21,Sales,"70,506"
21-Jul-21,Payment,"89,633"
20-Feb-22,Journal,"99,393"
12-Jun-21,Purchase,"18,623"
27-Aug-21,Payment,"27,394"
14-Nov-21,Receipt,"7,404"
30-Jun-21,Journal,"5,827"
14-Apr-21,Receipt,"47,666"
01-Feb-22,Sales,"82,681"
25-Sep-21,Payment,"56,369"
14-Dec-21,Journal,"4,701"
15-Jan-22,Receipt,"23,111"
18-Jul-21,Purchase,"92,496"
15-Apr-21,Sales,"67,999"
08-Jun-21,Journal,"48,546"
27-Jan-22,Payment,"84,369"
13-Aug-21,Purchase,"33,602"
01-May-21,Receipt,"76,348"
07-Jan-22,Receipt,"70,437"
21-Jan-22,Sales,"35,810"
10-Sep-21,Sales,"72,833"
06-Apr-21,Receipt,"90,871"
30-Jul-21,Sales,"7,550"
24-May-21,Journal,"26,690"
09-Jun-21,Sales,"81,640"
16-Mar-22,Sales,"43,405"
28-Aug-21,Receipt,"23,723"
21-Sep-21,Journal,"54,886"
06-Apr-21,Payment,"78,642"
30-Jan-22,Journal,"18,536"
01-Oct-21,Purchase,"50,025"
23-May-21,Payment,"68,413"
07-Dec-21,Payment,"15,174"
03-Jan-22,Journal,"12,158"
20-Feb-22,Payment,"98,408"
12-Dec-21,Sales,"18,494"
10-Sep-21,Payment,"99,833"
07-Sep-21,Journal,"6,945"
02-Mar-22,Payment,"81,752"
10-Jan-22,Receipt,"53,222"
13-May-21,Purchase,"89,320"
02-Nov-21,Payment,"73,986"
03-Oct-21,Sales,"3,304"
08-Sep-21,Receipt,"13,295"
18-Feb-22,Purchase,"12,092"
24-Aug-21,Receipt,"48,784"
03-Jul-21,Purchase,"80,651"
21-Nov-21,Receipt,"32,374"
21-Aug-21,Payment,"9,314"
09-Aug-21,Receipt,"57,717"
07-Jun-21,Sales,"90,262"
13-Aug-21,Receipt,"81,077"
09-Sep-21,Sales,"84,387"
07-Oct-21,Journal,"42,631"
06-Nov-21,Purchase,"23,190"
16-Feb-22,Sales,"15,833"
06-Nov-21,Purchase,"53,475"
03-Jun-21,Receipt,"20,700"
29-Mar-22,Payment,"69,426"
06-Apr-21,Receipt,"29,293"
09-Jan-22,Receipt,"96,265"
21-Feb-22,Journal,"66,238"
25-May-21,Payment,"64,504"
10-Aug-21,Purchase,"23,611"
04-Feb-22,Payment,"93,416"
12-Dec-21,Receipt,"33,802"
23-Oct-21,Journal,"58,914"
03-Nov-21,Sales,"94,115"
29-Jun-21,Journal,"4,833"
28-Nov-21,Receipt,"34,127"
04-Aug-21,Payment,"59,544"
21-Dec-21,Receipt,"44,253"
06-Aug-21,Sales,"3,079"
06-Dec-21,Journal,"68,456"
28-Oct-21,Journal,"7,477"
25-Apr-21,Receipt,"60,062"
11-Jan-22,Purchase,"19,967"
13-Aug-21,Sales,"63,137"
27-Sep-21,Sales,"10,964"
14-Feb-22,Purchase,"15,703"
19-Apr-21,Payment,"61,566"
26-Feb-22,Journal,"45,556"
26-Jun-21,Purchase,"44,548"
30-Nov-21,Journal,"2,799"
07-Sep-21,Receipt,"29,372"
18-Jul-21,Journal,"76,477"
28-May-21,Journal,"4,456"
01-Jun-21,Receipt,"44,604"
21-Dec-21,Journal,"20,800"
16-Jul-21,Payment,"83,878"
07-Feb-22,Journal,"27,836"
04-Aug-21,Receipt,"42,307"
11-Oct-21,Sales,"68,489"
15-Oct-21,Sales,"28,361"
31-Oct-21,Purchase,"26,962"
08-Apr-21,Purchase,"11,989"
19-Aug-21,Journal,"11,618"
16-Mar-22,Journal,"12,887"
11-Mar-22,Journal,"31,150"
29-Nov-21,Sales,"74,822"
13-Oct-21,Sales,"59,158"
25-Jun-21,Sales,"36,654"
20-Sep-21,Payment,"48,559"
23-Jan-22,Purchase,"70,639"
12-Aug-21,Journal,"14,455"
15-Mar-22,Receipt,"6,639"
04-Sep-21,Payment,"83,049"
26-Feb-22,Sales,"45,014"
19-Jan-22,Receipt,"2,589"
27-Apr-21,Receipt,"94,256"
11-Dec-21,Sales,"49,027"
23-Jul-21,Payment,"99,942"
28-Sep-21,Journal,"72,344"
20-Jun-21,Purchase,"78,397"
02-Nov-21,Sales,"23,642"
08-Aug-21,Receipt,"80,020"
20-Apr-21,Journal,"87,446"
01-Oct-21,Payment,"31,675"
16-May-21,Receipt,"20,823"
18-Jul-21,Payment,"54,574"
06-Jul-21,Journal,"28,579"
07-Jan-22,Payment,"82,862"
13-Oct-21,Payment,"95,876"
15-Oct-21,Receipt,"29,558"
04-May-21,Purchase,"88,008"
21-Mar-22,Sales,"6,036"
17-Jul-21,Sales,"31,785"
17-Jun-21,Receipt,"41,686"
03-Feb-22,Journal,"64,820"
16-Oct-21,Purchase,"38,475"
31-Jan-22,Payment,"47,202"
20-Jan-22,Receipt,"43,890"
20-Nov-21,Purchase,"88,782"
11-May-21,Sales,"31,983"
17-Apr-21,Purchase,"2,143"
26-Mar-22,Journal,"57,404"
16-Dec-21,Payment,"43,737"
02-Jun-21,Journal,"4,289"
10-Oct-21,Payment,"92,427"
22-Dec-21,Journal,"89,988"
02-Sep-21,Payment,"37,378"
11-Dec-21,Sales,"23,784"
29-Sep-21,Purchase,"47,854"
21-May-21,Sales,"6,692"
07-Dec-21,Sales,"35,027"
15-Nov-21,Purchase,"39,292"
23-Dec-21,Journal,"64,009"
01-Jan-22,Journal,"97,959"
16-Sep-21,Purchase,"19,947"
24-Feb-22,Journal,"90,969"
11-Mar-22,Journal,"89,994"
11-Dec-21,Journal,"60,380"
25-Oct-21,Receipt,"72,674"
07-Oct-21,Purchase,"57,906"
12-Oct-21,Payment,"54,200"
29-Jul-21,Payment,"8,865"
17-May-21,Sales,"98,191"
02-Dec-21,Sales,"32,459"
21-Jan-22,Purchase,"47,388"
09-Oct-21,Receipt,"95,311"
07-Dec-21,Receipt,"2,281"
01-Jul-21,Sales,"66,751"
27-Oct-21,Sales,"55,789"
16-May-21,Journal,"60,544"
27-Mar-22,Sales,"31,427"
15-Nov-21,Payment,"71,758"
13-Jun-21,Payment,"7,670"
06-Jan-22,Sales,"58,395"
18-Aug-21,Payment,"15,635"
25-Dec-21,Sales,"16,749"
21-Feb-22,Payment,"63,506"
08-Jun-21,Payment,"17,990"
26-May-21,Sales,"34,671"
17-Dec-21,Purchase,"88,658"
03-May-21,Journal,"34,563"
24-Aug-21,Journal,"97,486"
05-Jun-21,Journal,"7,261"
24-Dec-21,Receipt,"65,413"
19-Jan-22,Journal,"24,405"
26-May-21,Sales,"3,379"
20-Aug-21,Sales,"74,654"
28-Aug-21,Sales,"8,807"
14-Nov-21,Receipt,"77,737"
25-May-21,Payment,"53,373"
04-Feb-22,Journal,"6,487"
28-Aug-21,Journal,"94,524"
29-Sep-21,Receipt,"9,474"
12-Mar-22,Receipt,"70,609"
19-Nov-21,Receipt,"81,468"
08-Feb-22,Purchase,"59,611"
30-Mar-22,Purchase,"4,501"
14-Oct-21,Sales,"27,376"
20-May-21,Journal,"45,691"
12-Oct-21,Receipt,"35,682"
10-May-21,Payment,"82,974"
11-Dec-21,Sales,"87,594"
19-Sep-21,Journal,"94,840"
08-Jun-21,Receipt,"35,800"
03-Feb-22,Receipt,"91,691"
23-Jun-21,Sales,"32,812"
21-Jan-22,Sales,"52,617"
02-Mar-22,Journal,"16,215"
31-Dec-21,Journal,"47,320"
15-Aug-21,Payment,"95,031"
30-Oct-21,Purchase,"26,668"
27-Sep-21,Payment,"38,438"
30-May-21,Sales,"5,205"
10-Apr-21,Purchase,"34,989"
13-Mar-22,Journal,"35,894"
20-Feb-22,Receipt,"76,390"
20-May-21,Receipt,"23,135"
29-May-21,Receipt,"31,717"
01-Apr-21,Receipt,"31,755"
28-May-21,Journal,"38,995"
15-Dec-21,Purchase,"96,451"
23-Mar-22,Sales,"68,286"
24-Oct-21,Payment,"62,427"
17-Oct-21,Sales,"17,134"
16-Jan-22,Purchase,"30,248"
30-Jul-21,Receipt,"36,058"
06-Jul-21,Journal,"32,167"
05-Oct-21,Purchase,"79,262"
28-Mar-22,Payment,"81,529"
02-Sep-21,Payment,"74,831"
11-May-21,Purchase,"75,360"
19-Apr-21,Journal,"47,236"
22-Jul-21,Receipt,"45,484"
05-Oct-21,Sales,"72,395"
11-Nov-21,Receipt,"76,119"
15-May-21,Purchase,"47,350"
22-May-21,Receipt,"39,859"
28-Aug-21,Payment,"22,848"
03-Sep-21,Journal,"8,439"
11-Apr-21,Journal,"86,148"
04-Jan-22,Purchase,"81,039"
26-Nov-21,Journal,"2,481"
26-Mar-22,Receipt,"67,961"
27-Jul-21,Receipt,"9,384"
19-Apr-21,Payment,"52,344"
24-Oct-21,Receipt,"99,155"
16-Dec-21,Purchase,"44,127"
08-Aug-21,Sales,"41,505"
12-Sep-21,Sales,"82,347"
27-Sep-21,Purchase,"86,488"
09-Aug-21,Purchase,"25,843"
09-Oct-21,Journal,"11,941"
10-Aug-21,Sales,"84,359"
01-Jun-21,Purchase,"63,160"
27-Jun-21,Sales,"69,205"
27-Nov-21,Purchase,"32,159"
27-Apr-21,Journal,"9,375"
23-Oct-21,Purchase,"24,590"
29-Oct-21,Receipt,"3,970"
19-May-21,Purchase,"80,615"
12-Apr-21,Purchase,"69,345"
18-Oct-21,Journal,"23,114"
08-Jul-21,Payment,"12,889"
27-Apr-21,Receipt,"9,784"
03-Jan-22,Sales,"21,317"
18-Dec-21,Journal,"17,821"
02-Jun-21,Payment,"80,932"
27-Dec-21,Sales,"43,288"
01-May-21,Sales,"91,168"
29-Jun-21,Sales,"6,398"
19-Apr-21,Payment,"15,739"
04-Apr-21,Sales,"90,226"
23-Apr-21,Payment,"43,981"
01-Jun-21,Journal,"95,012"
07-Jan-22,Receipt,"3,316"
30-Nov-21,Journal,"14,511"
29-Dec-21,Journal,"82,358"
19-May-21,Sales,"36,233"
12-May-21,Purchase,"3,457"
23-Nov-21,Journal,"73,716"
25-Aug-21,Journal,"54,618"
26-Oct-21,Sales,"93,374"
27-Apr-21,Receipt,"52,575"
05-Aug-21,Sales,"39,764"
09-Dec-21,Payment,"7,250"
17-Sep-21,Sales,"56,632"
11-Sep-21,Receipt,"79,437"
21-Feb-22,Sales,"71,278"
15-Jul-21,Journal,"2,646"
05-Sep-21,Purchase,"31,832"
01-Sep-21,Receipt,"18,951"
26-Aug-21,Journal,"13,910"
23-Oct-21,Payment,"59,517"
11-Sep-21,Receipt,"13,032"
21-Feb-22,Sales,"67,078"
30-Aug-21,Sales,"11,927"
09-Mar-22,Payment,"60,029"
19-Mar-22,Receipt,"63,381"
31-Oct-21,Receipt,"13,318"
11-Jul-21,Sales,"3,255"
07-Jan-22,Purchase,"77,966"
24-Nov-21,Sales,"8,441"
24-May-21,Sales,"58,883"
21-Sep-21,Purchase,"69,772"
26-Jun-21,Journal,"4,562"
17-Nov-21,Payment,"57,944"
25-Jun-21,Receipt,"84,206"
29-Apr-21,Sales,"44,402"
15-Oct-21,Journal,"3,978"
14-Mar-22,Journal,"62,261"
24-Nov-21,Payment,"8,061"
22-Aug-21,Journal,"61,782"
30-Nov-21,Sales,"63,354"
10-Nov-21,Receipt,"86,733"
11-Dec-21,Sales,"13,384"
12-Jul-21,Purchase,"45,675"
28-Jan-22,Sales,"78,531"
13-Sep-21,Sales,"13,235"
24-Sep-21,Journal,"51,937"
02-Aug-21,Payment,"47,621"
16-Feb-22,Receipt,"70,958"
06-Nov-21,Payment,"78,459"
17-Dec-21,Payment,"81,472"
10-Sep-21,Journal,"98,245"
03-May-21,Receipt,"93,863"
14-Jun-21,Receipt,"25,480"
06-Aug-21,Purchase,"28,993"
07-Jan-22,Purchase,"71,358"
10-Sep-21,Receipt,"80,661"
10-Nov-21,Journal,"3,254"
27-Jun-21,Receipt,"98,316"
02-Jul-21,Payment,"63,875"
19-Jun-21,Sales,"99,473"
21-Feb-22,Receipt,"12,114"
21-Aug-21,Sales,"42,793"
01-Jun-21,Journal,"87,909"
06-Oct-21,Journal,"55,089"
17-Aug-21,Journal,"38,500"
12-Dec-21,Receipt,"81,861"
01-Oct-21,Receipt,"31,360"
28-Jan-22,Payment,"22,818"
24-Oct-21,Receipt,"98,879"
30-Aug-21,Sales,"22,528"
01-Mar-22,Purchase,"25,545"
27-Sep-21,Payment,"21,686"
30-Apr-21,Journal,"1,416"
09-Nov-21,Payment,"91,603"
19-Aug-21,Sales,"86,860"
18-Aug-21,Payment,"6,905"
17-Jul-21,Receipt,"31,302"
11-Nov-21,Purchase,"27,635"
20-Jan-22,Sales,"48,739"
07-Apr-21,Purchase,"22,815"
27-Jul-21,Receipt,"93,454"
23-Jan-22,Sales,"31,066"
22-Oct-21,Journal,"70,579"
04-Jul-21,Receipt,"75,990"
23-Dec-21,Sales,"47,278"
28-Mar-22,Sales,"10,834"
26-Aug-21,Receipt,"72,715"
26-Nov-21,Sales,"59,842"
25-Jan-22,Receipt,"46,093"
31-Jul-21,Receipt,"12,528"
20-Apr-21,Sales,"4,143"
25-May-21,Journal,"10,883"
29-Apr-21,Sales,"74,233"
25-Jan-22,Journal,"56,270"
06-Jul-21,Sales,"84,823"
09-Feb-22,Sales,"16,030"
26-Aug-21,Purchase,"43,113"
12-Feb-22,Receipt,"98,614"
17-Jul-21,Purchase,"44,017"
11-Dec-21,Payment,"29,873"
15-Mar-22,Sales,"29,250"
15-Apr-21,Payment,"20,779"
21-Dec-21,Journal,"97,132"
26-Feb-22,Journal,"61,898"
25-Jul-21,Sales,"14,202"
04-Jul-21,Sales,"28,054"
18-Jun-21,Sales,"43,023"
02-Jul-21,Receipt,"83,593"
25-Jul-21,Payment,"68,580"
11-Nov-21,Payment,"57,972"
16-May-21,Receipt,"52,994"
24-Jan-22,Sales,"59,044"
31-Jan-22,Payment,"21,152"
29-May-21,Sales,"81,277"
10-Jun-21,Sales,"17,749"
03-Nov-21,Receipt,"96,914"
03-Jul-21,Purchase,"15,686"
01-Nov-21,Journal,"66,127"
24-Sep-21,Receipt,"4,657"
08-May-21,Payment,"77,443"
25-May-21,Purchase,"68,306"
25-Jul-21,Receipt,"79,352"
24-Mar-22,Journal,"81,713"
17-Nov-21,Receipt,"7,425"
09-Dec-21,Purchase,"85,700"
19-Oct-21,Receipt,"3,789"
28-Mar-22,Sales,"72,636"
26-Nov-21,Sales,"61,894"
26-Jul-21,Journal,"78,874"
07-Sep-21,Receipt,"96,550"
04-Aug-21,Sales,"17,533"
04-Mar-22,Purchase,"89,310"
25-Mar-22,Journal,"40,923"
29-Apr-21,Payment,"47,440"
04-Jul-21,Purchase,"36,024"
08-May-21,Sales,"94,173"
24-Sep-21,Payment,"78,320"
03-Jun-21,Receipt,"76,617"
08-Apr-21,Receipt,"22,095"
21-Apr-21,Purchase,"87,434"
02-May-21,Sales,"26,056"
24-Nov-21,Payment,"12,858"
21-Dec-21,Sales,"13,797"
02-Feb-22,Journal,"28,848"
02-Jun-21,Sales,"63,253"
11-Feb-22,Purchase,"86,390"
27-Dec-21,Purchase,"78,610"
30-Mar-22,Journal,"63,887"
18-Jun-21,Journal,"1,071"
14-Sep-21,Sales,"86,170"
13-Feb-22,Sales,"39,756"
02-Nov-21,Purchase,"61,031"
28-Feb-22,Receipt,"94,469"
05-Feb-22,Sales,"52,489"
12-Nov-21,Sales,"16,378"
27-Oct-21,Purchase,"58,823"
17-Feb-22,Journal,"28,189"
01-Aug-21,Payment,"60,889"
24-Feb-22,Journal,"29,747"
26-Dec-21,Payment,"77,727"
09-Nov-21,Purchase,"10,356"
19-Sep-21,Receipt,"90,227"
11-Feb-22,Payment,"96,219"
04-Jan-22,Receipt,"74,194"
28-Jul-21,Payment,"3,279"
22-Feb-22,Receipt,"98,313"
01-Feb-22,Payment,"39,218"
20-Mar-22,Purchase,"83,475"
23-Oct-21,Journal,"36,903"
30-May-21,Receipt,"50,584"
22-Mar-22,Sales,"20,134"
25-Mar-22,Payment,"59,150"
23-Jul-21,Journal,"85,583"
14-Aug-21,Payment,"69,661"
12-Nov-21,Receipt,"72,471"
12-Aug-21,Payment,"84,746"
16-Jul-21,Payment,"34,882"
05-Sep-21,Purchase,"95,537"
09-Mar-22,Purchase,"60,863"
22-Apr-21,Receipt,"63,716"
14-May-21,Payment,"61,111"
06-May-21,Receipt,"12,543"
27-Sep-21,Purchase,"83,513"
25-Nov-21,Sales,"81,276"
24-May-21,Journal,"57,629"
03-Apr-21,Purchase,"84,986"
07-Jan-22,Purchase,"32,123"
06-Jan-22,Sales,"14,546"
23-Mar-22,Sales,"84,508"
26-Apr-21,Purchase,"4,745"
07-Apr-21,Receipt,"11,838"
22-Sep-21,Sales,"97,169"
04-Feb-22,Purchase,"31,595"
24-Mar-22,Sales,"58,981"
16-Apr-21,Journal,"70,398"
18-Sep-21,Journal,"92,678"
01-Nov-21,Purchase,"12,224"
09-Jan-22,Purchase,"92,473"
